Timestamp,Country,VS Date,VS Time,VS Model,VS Low Wind,VS High Wind,VS Avrg Wind kph,VS Low Gust,VS High Gust,VS Avrg Gust kph,VS Gust m/s,Possibly Underestimated,Intensity (length * Avrg Gust),Highline length (in m),Connected main and backup?,"If yes, how many and how long were the individual pieces? (in m)",Direct height (in m),"Please give us some information about the type of terrain. Was the line in a canyon, on a cliff, in a forest, etc?",Estimated highline tension (in kN),Highline webbing (main and backup),Tape material?,Stand. Tape Material,Tape width (in mm),How old were the tapes?,How far apart were the tapes (in m)?,Backup Width (m),One Large Loop,Did the tapes slide on main or backup?,How big were the backup loops?,Loopiness (1-3),"Time of rigging (hours:minutes, dd/mm/yyyy)","Time of detaping (hours:minutes, dd/mm/yyyy)","If unknown, last time the line was seen intact (hours:minutes, dd/mm/yyyy)","And the time it was found destroyed / detaped (hours:minutes, dd/mm/yyyy)","If you witnessed the detaping, how long did it take until the line was uncontrollable / fully seperated main and backup?",Subjective wind speed,Stand. Subj. Wind,Recorded wind speed - steady (prediction or record) in km/h,Recorded wind speed - gusts (prediction or record) in km/h,Stand. Reported Windspeed,Is there anything else you would like us to know about the wind or the weather in general?,Description of damage to webbing / anchors,"How was the line derigged? Cut, failed, normal derig?  ",Any other information?,Detape,Damage,Anchor Damage,Line Damage,Derig Method,Normal Derig,Cut,Failed,Failed Line,Failed Anchors,Control
4/24/2020 21:35:41,Polen,29/10/2017,8:00,ICON,40,41,40.5,110,112,111,30.833358,0,3663,33,No,,25,On a top of a hill with forest everywhere ,3,Rubber2 and octopussi,Electrical tape (vinyl),Electrical,,1week,2–3,2.5,,Main,"Not saggy, almost to tight",1,"18:00, 27/09/2017",Unknown,"18:00, 28/10/2017","11:00, 29/10/2017",Unknown,,,"Unknown, but violent",Afterwards 190 km/h online weather history ,190,"The wind was at night and much stronger than expected, trees was falling done at night","Nothing,everting was fine","Some hours later Normal derig, when the wind was less strong",In the morning it was impossible to derig the line. It was impossible to open the soft release and shackle because of the powerful shacking highline.,0,None,0,0,Normal Derig,1,0,0,0,0,0
4/24/2020 21:40:01,France,21/04/2019,5:00,ICON,15,18,16.5,31,45,38,10.555564,0,4180,110,No,,300,canyon,3,"Rubber Band main, Spectre backup",Electrical tape (vinyl),Electrical,20,new,2,2,,Backup,"The line was derigged two times. The first in the morning we found most of the tapes broken, the wind was really strong. The loops were not so big, but probably one was a bit bigger and start to broke all the other. The second time  was also raining hard, and the tape start to slide and create a big loop, tha tbring all the tape to one side of the line. This time we tape really good, was impossible to broke it. but the glue of the tape was shittyans the gusts of wind were so hard that we had to pay a lot of attention to moved close to the void.",1,"if I remember well, first rigging evening of 20/04/2019, second rigging evening of 23/04/2019",night after rigging both times,,"early morning of the day after the rigging, both times","when we woke up for the noise, the line wasn't totally detaped, but every minute the big loop became bigger"," absolutely dangerous wind (mostly upward gusts). I feel dangerous during the derigging. The wind caused uncontrolled movement on the line, working on the anchore, even with rain, it scared me. ",Dangerous,"no idea,  incessant with very strong gusts",,,"
the weather has changed very quickly, we was unprepared","no damage on the webbing, damage on the slings for abrasion on the rock","first time, for the tension the backup less dangerous, so, we derigged before the main with a tagline and later the backup. the second time we derigged main and backup together using before a rope and after a tagline but the tagline broked. by the way the wind was so strong from down to up that we was able take all the webbing on one side without touching the rock",I just have a couple of video of the first time that we found the line detaped. I'll send them. Ciao :),1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
4/24/2020 21:40:01,France,24/04/2019,5:00,ICON,20,21,20.5,48,55,51.5,14.305567,0,5665,110,No,,300,canyon,3,"Rubber Band main, Spectre backup",Electrical tape (vinyl),Electrical,20,new,2,2,,Backup,"The line was derigged two times. The first in the morning we found most of the tapes broken, the wind was really strong. The loops were not so big, but probably one was a bit bigger and start to broke all the other. The second time  was also raining hard, and the tape start to slide and create a big loop, tha tbring all the tape to one side of the line. This time we tape really good, was impossible to broke it. but the glue of the tape was shittyans the gusts of wind were so hard that we had to pay a lot of attention to moved close to the void.",2,"if I remember well, first rigging evening of 20/04/2019, second rigging evening of 23/04/2019",night after rigging both times,,"early morning of the day after the rigging, both times","when we woke up for the noise, the line wasn't totally detaped, but every minute the big loop became bigger"," absolutely dangerous wind (mostly upward gusts). I feel dangerous during the derigging. The wind caused uncontrolled movement on the line, working on the anchore, even with rain, it scared me. ",Dangerous,"no idea,  incessant with very strong gusts",,,"
the weather has changed very quickly, we was unprepared","no damage on the webbing, damage on the slings for abrasion on the rock","first time, for the tension the backup less dangerous, so, we derigged before the main with a tagline and later the backup. the second time we derigged main and backup together using before a rope and after a tagline but the tagline broked. by the way the wind was so strong from down to up that we was able take all the webbing on one side without touching the rock",I just have a couple of video of the first time that we found the line detaped. I'll send them. Ciao :),1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
4/25/2020 15:02:30,Australia,05/11/19,17:00,ICON,21,23,22,35,38,36.5,10.138897,0,8212.5,225,No,,50,In a gully next to the Bluffs at Mt Arapiles,1.5,"Aero 2, Feather Pro Backup","Electrical tape (vinyl), Fibre-reinforced tape",Both,25,new,3-6m,4.5,,Main,around 0.5m to 1.5m,1,"2pm, 05/11/19","5pm, 05/11/19",,,2 hours,20-30. Too windy to walk on the line.,Strong,not sure,possibly 40km,40,"consistent, coming from one side, made rigging difficult",,normal derig,"We used electric tape underneath fibre-reinforced tape thinking it would give the best of both worlds. Unfortunately, the adhesive of the electrical tape ended up slipping and all the tapes that we thought had broken had bunched up to one end of the line that had the biggest backup loop.",0,None,0,0,Normal Derig,1,0,0,0,0,1
4/25/2020 18:22:30,Italy,april 2018??,,,,,,,,,0,0,0,200,No,,80,Desert area in Iran - rock cliffs,2,core hs main - strong II backup ,Electrical tape (vinyl),Electrical,,,,,,Non-sliding,,,,,,,,90 km/h,Dangerous,,90 km/h,,,"exploded 2t spanset.
Spanset burned in the connection point with the quicklink, due to heat generated by friction
Webbing destroyed in some point, completely stucked into the weblock",failed. everything was messed up,,1,Both,1,1,Failed,0,0,1,1,1,0
4/27/2020 18:28:24,United States,20/08/2019,17:00,HRRR,6,11,8.5,22,22,22,6.111116,1,4400,200,No,,65,The line crossed a wooded side canyon than runs at an angle to a larger canyon.,3,"Rubberband, Rubberband",Electrical tape (vinyl),Electrical,15,A mix of relatively new and some weeks/months old,4-6,5,,Main,Moderate,2,,,,"19:00, 20/08/2019",,Only a slight breeze,Minor,,,,,,Cut,"Line was found almost totally delaminated (tapes broken), and was showing chaotic behavior despite subjectively low winds. The line was cut before failure, but serious damage to the webbing was found near each anchor. “There was only a slight breeze but the line was being thrashed and the first 30m of the line coming from each anchor were wrecked when we pulled the webbing back after cutting it. Since one tape was left at each anchor the lines kept swirling around each other and destroying each other”",1,Line,0,1,Cut,0,1,0,0,0,0
4/27/2020 23:27:58,USA,17/6/2018,20:00,HRRR,14,20,17,22,36,29,8.055562,1,5800,200,No,n/a,250,bowl shaped canyon with 200m+ sheer cliffs,4,feather pro and feather pro ,Electrical tape (vinyl),Electrical,20,I  believe new? ,3-6 ,4.5,,Backup,"Around 2 meters, there was no noticeably bigger loop until the wind started.",2,14:00 6/14/2018 est.,20:00 6/17/2018 est.,20:00 6/17/2018 est. ,20:00 6/17/2018 est. ,We we're at camp around 300m further down the cliff when we started to clearly hear the 'whomping' noise of the line moving significantly. Upon inspection the wind had stated to push the backup slowly into one larger loop near the tensioning anchor.   The wind was still low enough that it was safe for someone to go and add more tapes which eliminated the line oscillating. ,I would guess 25 mph. Too windy to want to session but safe enough for someone to go on the line to add tapes. The wind did not feel dangerous. ,Strong,Sorry we did not. ,n/a,40,Nope,There was no reported damage and we continued to session safely for 3-4 more days. ,Normal derig a few days later. ,"The bowl shape of the canyon (similar to taft point) seemed to push wind up through the canyon. While the taping was inadequate (normal for shorter lines but no double tapes or fiber tapes considering it was a 200m line left in an exposed spot for a week),  I believe the way the wind pushed up and towards the line is why it started to oscillate with seemingly minor winds. ",1,None,0,0,Normal Derig,1,0,0,0,0,1
4/30/2020 7:00:29,USA,31/12/2018,8:00,HRRR,48,83,65.5,71,101,86,23.888908,0,6880,80,No,,65,"In a large granite boulder field, across a canyon between one large boulder pile and a granite spire/blob",1.5,"Tantalus main, lift backup",Fibre-reinforced tape,Fibre,20,Brand new,3-6,4.5,,Main,"No backup loops at all and no, the backup was tensioned against the main line to prevent loops from getting caught in wind",1,"16:30, 31/12/2018","21:00, 31/12/2018","23:30, 31/12/2018","4:30, 01/01/2019","Did not witness (at night), only heard oscillations","Wind felt like it was picking up when we rigged, so tightened backup to prevent damage as we were planning to leave up overnight. Wind increased severely theough the night to what felt extremely strong, unable to stand up fully in the wind",Dangerous,75,110,110,"We expected there to be upwards of 60km/h wind that evening so we taped well with new fiber tape and tensioned the backup. We heard extremely loud oscillating sounds reminiscent of a helicopter around 5 hours after rigging after dark. Hiked to the line to observe chaotic oscillations and severe wind speeds at the anchor. It seemed that the small canyon acted like a funnel for the wind, increasing its speed at the line. Later found the wind to have been at least what was mentioned above. The line oscillated heavily in the wind for approx 7 hours (nobody could sleep due to extreme sound) until early morning when the lines snapped and the sound ceased.","Oh boy. Both main and backup webbing were utterly destroyed. Very few parts of each line didn't have extreme fraying, where some parts were completely frayed into individual threads, both lines were cut near first anchor. All of the static rope was frayed as well but only the sheath, with only a few parts of core exposed, all whoopie slings except a few were cut. All abrasion protection including two backpacks were either broken or melted off of the line and blown away. Sheath on one soft shackle actually melted. Weblock and shackles took considerable damage due to repetitive smashing into granite, and carved into a large section of the granite (can be seen in pictures). One weblock and shackle miraculously dissapeared. Main backup tie off eventually loaded an aluminum carabiner which was extremely damaged. All quick links on each bolt (4 bolts on each side) had significant cutting into the metal due to repetitive motion and tension. All bolts were placed the day before (sleeve bolts in very hard desert granite) and after the incident 6 out of 8 bolts were slightly loose and all hangers were able to be spun.",Cut due to wind,"This incident was the most severe of any wind related incident I have heard of, experienced, or even imagined. I took great care to place quality bolts, with most of the gear being brand new. The anchors were also padded extremely well with multiple types of abrasion protection securely fastened as we did predict heavy winds. The fact that the wind was able to break fiber tapes with the backup tensioned was very surprising. Also very surprising was the duration of the oscillations especially with how intense the wind was. Also, when we hiked up to the line at night, we noticed a 5m side sag, as well as the backup and main oscillating in opposition with an amplitude of about 5m as well, consistently.",1,Both,1,1,Failed,0,0,1,1,0,0
5/1/2020 18:00:11,France,28/06/2017,20:00,ICON,16,18,17,40,47,43.5,12.083343,1,2175,50,No,,50,Top of a wide east facing gully. Some trees and bushes.,2,unknown,,,,,,,,,,,"12:00, 28/06/2017","19:00, 28/06/2017",,,5 minutes,100 km/h,Dangerous,50,100,100,Very fast approaching stormcloud brought the weather. The highliners had a tough time coming out after the line was detaped. Very fast event.,Minimal,Normal,,1,None,0,0,Normal Derig,1,0,0,0,0,1
5/1/2020 18:08:34,France,28/06/2017,20:00,ICON,16,18,17,40,47,43.5,12.083343,1,4350,100,No,,50,Top of a wide east facing gully. Some trees and bushes.,2,Sonic/unknown,,,,,,,,,,,"12:00, 28/06/2017","19:00, 28/06/2017",,,5 minutes,100,Dangerous,50,100,100,"Very fast approaching stormcloud which brought the gust. Highliner didn't have time to get out before untaping, but made it out safely later",Spanset sheath cut on natural anchor side 2,Normal,,1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
5/4/2020 17:16:02,United States,30/12/2018,17:00,HRRR,6,10,8,12,29,20.5,5.694449,1,2255,110,No,,35,"In a very shallow cove along a ridgeline. A ~35m cliff above a 300m sloping, tree covered mountainside",3,"Feather Pro main, T18 backup (backup was two pieces sewn together)",Fibre-reinforced tape,Fibre,18,Relatively new,4,4,,Backup,"Not very loopy, there was not much backup out as we had already pulled in the backup for wind",1,"11:00, 30/12/2018","14:00, 30/12/2018",,"17:00, 30/12/2018",We began derigging after witnessing the first tape or two break,,,,,,,"As two people attempted to derig the line, the webbing was pulled into the trees, eventually having had to be cut at a sewn connection point to get the line down.",Derigged (but lost control and ended up cutting),"We cut the line around 16:30, don't remember exact time of derigging",1,None,0,0,Normal Derig,1,0,0,0,0,1
5/10/2020 5:39:11,USA,26/04/2020,23:00,HRRR,57,61,59,78,87,82.5,22.916685,0,49500,600,Yes,Varied. Rigged on 4 pieces of 50 meter blue pieces to 4 pieces of 50 meter marathon to 1 piece of 200 meters half marathon. Backup was 4 pieces of half marathon on the blue. 4 Pieces of Blue on the Marathon. 1 piece of half marathon on the half marathon,120,It was in a canyon in the middle of the desert. ,4.5,"Main: Blue, Marathon, Half Marathon. Backup: Half Marathon, Blue, Half Marathon","Electrical tape (vinyl), Electrical Tape was wrapped 6 times and doubled 4 inches away from eachother",Electrical,19,New,7-10,8.5,,Backup,2 meters,2,"22:30, 24/04/2020",NA,"20:00, 26/04/2020","07:00, 27/04/2020",NA,30 mph ,Strong,51,77,77,This canyon gets very gusty and it is difficult to keep lines up here. The only reason I keep trying is because I live so close to the area. ,"Main line broke, Anchor rubbed edge and failed","After main line break, the line was slowly let down into the canyon with a long static rope",We no longer only use electrical tape. We now also add fiber tape on top of the electrical tape. I also no longer use giant saggy cheater loops. I have since made my loops slightly smaller in order to reduce surface area. ,1,Both,1,1,Failed,0,0,1,1,1,0
5/12/2020 2:47:52,United States,02/09/2018,14:00,HRRR,16,29,22.5,25,45,35,9.72223,0,7385,211,No,,40,On a coastal cliff going to an offshore island. Rigged off large spruce trees. ,3,Skypilot for both. ,Electrical tape (vinyl),Electrical,20,"Some reused, some new, only wrapped 2-4 times. ",5-7,6,,Backup,Standard saggy loop sizes? Nothing absurdly saggy. But one tape broke on the static island end creating a large loop which slowly started to unzip all the rest. ,2,"10:00, 01/09/2018","14:30, 02/09/2018","14:20, 02/09/2018","14:35, 02/09/2018",Just a few minuets. There was someone on the line while it was happening. ,"It was absolutely too windy. The line was nearly never still and always had consistent horizontal side sag. It didn’t feel dangerous at the time, just very challenging. ",Strong,,,,The wind was consistently coming from the north and hitting the line perpendicular. Skies were blue and beautiful but the wind during the middle of the day was relentless. ,"Nothing significant found. As soon as it started to happen, we padded everything we could and pulled in as much backup as we could. We just hoped for the best at the static side because it was unreachable at the time. ","Waited till the next morning and got up early when winds were calm, derigged as normal. Someone slid across the line to add a few tapes to help with pulling in the line, after the static side was deemed safe. ","We were told by locals that they could hear a loud noise coming from the beach from as far as 5 miles away. With the tension that the main had and not being controlled by any dampeners, it was extremely loud to around. ",1,None,0,0,Normal Derig,1,0,0,0,0,0
5/18/2020 22:49:41,switzerland,31/01/2019 - 01/09/2019,???????,,,,,,,,0,0,0,55,No,,6,"water midline, river in a forest, steep terrain around protecting from extreme winds",1,helium,Duct tape,,25,1-6 months,2-3 m,2.5,,Backup,"small, 20-30cm?",1,31/01/2019,,01/09/2019,,,,,,,,,no damage,normal derig,"the line was permanently rigged for 8 months, only a few times i had to replace a tape or two. the tapes were at small distance with small loops. no damage at all to main or backup during that period. i guess the line survived because of not extreme winds, tight taping, retaping when needed. no incident/no failing. hope to help you with this info by providing some comparison data.",0,,,,,,,,,,1
5/20/2020 22:56:50,Lebanon,25/10/2017,5:00,ICON,9,9,9,31,34,32.5,9.027785,0,13000,400,No,,212,forest canyon,4,Aero/Feather Pro,Electrical tape (vinyl),Electrical,16,New/taped that day,8,8,,Main,2 meters appx,2,unknown,unknown,,,,30 km/hr,Moderate,,,30,Wind picked up over night,"Damage on the backup, where it was wrapped around the mainline. Had to be retired from highline usage.",Normal,https://youtu.be/MMQEuM5EivY,1,Line,0,1,Normal Derig,1,0,0,0,0,0
5/20/2020 16:57:03,France,19/12/2019,11:00,ICON,24,27,25.5,52,60,56,15.555568,0,3360,60,No,,25,A half bowl cliff formation.,,MILF - Neon (slack.fr),Electrical tape (vinyl),Electrical,20,Electrical tape (vinyl),3-4,3.5,,Backup,Backup was to tight for the first run (walking main on backup). The gave an additional meter to the back up.,1,"6:00, 18/12/2019 ","10:30, 19/12/2019",,,"3 leashfalls, 5 minutes",Too Windy to go on the line and looked dangerous for the line,Dangerous,worldweatheronline : 12am 22km/h SE (not exact location), worldweatheronline:  33Km/h (not exact location),33,The wind is funneled into the spot ,No damage,had to let go of the webbing that then got blown into the nearby trees,"Don't rig a highline when you know it's not a good idea. AND don't go on a highline without a hangover. 
Pulling the tension in to the backup helped the person come back to the anchor.",1,None,0,0,Normal Derig,1,0,0,0,0,0
5/24/2020 10:56:29,Australia,05/10/2017,2:00,ICON,28,29,28.5,54,55,54.5,15.138901,0,17113,314,Yes,157,80,Quite an exposed V shaped gap / large gully,3.5,Feather Pro,Electrical tape (vinyl),Electrical,20,4 days (really 8),2-6,4,,Main,"Average, nothing too crazy all loops were variable length and sag due to mainslider. Jerry helped so everything was made as safe as possible. The ""split"" was infact a rope swing rig that attached to the backup webbing (two weblocks) and sat on the main (2 rings) the backup was tensioned during the night before it failed (small loops) the repeated rolling over the loops is theorised to have weakened them significantly. the classic one-two tape fails likely caused all the rest. ",2,"10:00, 01/10/2017 (28th Sept)","10:00, 04/10/2017 (5th 2am)",,"2:00, 05/10/2017",roughly 30min,"It was strong, but not too strong to slackline, tapes had been weakened by the excessive use of rollers for a rope swing off it",Strong,"Around 25km/hr very steady, no gusts",no gusts,25,,Webbing was fine on all points except minor abrading at the masterpoint of the ropeswing. purelocks attached to the backup webbing struck the mainline enough to cause maybe 20-30% strength loss. All other components fine,,"It is quite an unusual line fail. The tapping was done in an attempt to pre empt the failture due to the wind prone gully. ""super tapes"" an idea developed by chris wallace was used on the taping session to try add extra sticky surface area to every fourth tape. A super tape involves wrapping a second piece of tape around the first slider in a spiral pattern, adding more stickiness on the backup while passing though on the slider section on the main, so as to not create a fixed tape. 
A lack of maintenance and excessive hang-overing is likely to has caused this along with a constant change of tensions (a helicopter rescue of a nearby climber required lowering the line the night before, and the rope swing had us change the backup tension a fair few times)",1,Line,0,1,Normal Derig,1,0,0,0,0,0
